Sample,Group,Mn,Fe,Zn,Ga,ThLa1,Rb,Sr,Y,Zr,Nb,Peso,Notes,Long,Lat,Notes
Q Pelun-ZZ038,QP-CHL,,4341,,,17.2,305.1,18.9,14.8,41.4,37.2,,,,,
Sora Sora-058,SS-BOL,,4612.3,,,31.3,348.8,4.2,34.7,76.2,79.5,,NKT_Tracer3,-68.2459,-18.1942,
Sora Sora-059,SS-BOL,,4076.8,,,34.8,368.9,5.4,31,88.5,78.1,,NKT_Tracer3,-68.2459,-18.1942,
Sora Sora-060,SS-BOL,,4418.9,,,32,386.4,3.2,34.9,79.9,84.8,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-061,SS-BOL,,3871,,,31.3,376.9,9,32.5,77.1,80.9,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-062,SS-BOL,,4127.5,,,29.5,374.9,4.8,33.6,82.4,84.4,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-063,SS-BOL,,4097.2,,,31.2,362.2,3.4,26.7,77.5,77.3,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-064,SS-BOL,,4106,,,32.5,361.4,1.5,30.9,76.5,77.9,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-065,SS-BOL,,4038.9,,,28.3,367.5,4,34.6,75,76.3,,Glascock-Quantx2015,-68.2459,-18.1942,
Sora Sora-066,SS-BOL,,4041.1,,,32.5,379.5,8,27.6,76.6,78.9,,NKT_Tracer3,-67.51,-23.05,
Sora Sora-067,SS-BOL,,3643.8,,,34.3,353.3,7,28.3,77.1,79.1,,NKT_Tracer3,-67.51,-23.05,
SoraSora_11,SS-BOL,798.0085935,3772.657646,61.3797172,22.1762348,29.99391762,337.247432,6.571595799,38,183.2,23.5,,Glascock-Quantx2015,-67.4,-22.87,
SoraSora_12,SS-BOL,1152.711223,5017.641087,73.12206349,23.34068113,28.90572042,357.2732332,6.79520727,39,220.3,21.9,,Glascock-Quantx2015,-67.4,-22.87,
SSB001,SS-BOL,1202.2,4130.1,,,37.2,380.4,0.6,28,79.7,86.9,,Glascock-Quantx2015,-67.4,-22.87,
SSB002,SS-BOL,883.8,4118.4,,,29.9,340.8,6.1,32,68.3,74,,Glascock-Quantx2015,-67.51,-23.05,
SSB003,SS-BOL,1159.6,3722.5,,,27.1,347.7,4.4,28.3,74.7,75.3,,Glascock-Quantx2015,-67.51,-23.05,
SSB004,SS-BOL,1088.1,3963.1,,,32.7,364.8,4.8,33.8,77.4,75.2,,Glascock-Quantx2015,-67.51,-23.05,
SSB005,SS-BOL,1048.6,4005.3,,,34.3,393.9,4.5,26.9,76.3,83,,Glascock-Quantx2015,-67.51,-23.05,
SSB006,SS-BOL,939.2,4255.7,,,32.6,376.7,7.1,31.1,77.8,82.1,,Glascock-Quantx2019,-67.51,-23.05,
