Sample,Group,Mn,Fe,Zn,Ga,ThLa1,Rb,Sr,Y,Zr,Nb,Peso,Notes,Long,Lat,Notes
Cerro Kaskio-201,CK-BOL,,6321.4,,,15.8,197.5,1,23.4,79.6,17.1,,,,,
Cerro Kaskio-202,CK-BOL,,6496,,,15.4,203.9,1.1,22.6,79.8,15.1,,,,,
Cerro Kaskio-203,CK-BOL,,6477.4,,,19.8,209.6,1.1,24.8,78.7,18.1,,,,,
CerroKaskio_Source_21,CK-BOL,403.6199665,5593.051796,56.23358137,20.4948701,18.35902813,198.1844724,4.335832307,27.64236258,87.37471885,16.90006915,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_22,CK-BOL,543.5978619,5899.809585,59.46623355,21.37950438,18.02203114,191.8136112,3.867339447,22.6732988,87.48535896,15.77183475,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_23,CK-BOL,490.0780701,6218.39759,46.60843921,22.10144843,18.92964789,203.041585,3.670894072,25.77377405,87.42062813,18.75191115,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_24,CK-BOL,561.0308437,6375.836895,58.06942734,16.49703709,19.0919309,209.2788263,3.621169602,23.78721038,84.75605275,17.12818775,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_25,CK-BOL,524.1150525,6161.883249,46.40761674,18.36448476,19.25580903,205.3782489,4.360766834,30.60850607,86.97473916,18.87425021,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_26,CK-BOL,574.1428037,6530.563373,55.54528362,18.30939569,17.00652202,199.2523687,4.124893023,29.35640635,91.03969862,17.8139521,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_27,CK-BOL,488.1419662,6246.489815,54.71712506,20.03731959,18.47680063,187.3403848,4.2061336,23.09627589,83.20056957,18.24717402,,NKT_Tracer3,-67.7793,-21.382,
CerroKaskio_Source_28,CK-BOL,534.3891793,5383.551169,65.57819315,17.21036526,11.77213003,174.9990611,5.051183881,25.89274114,78.70791219,18.46376456,,NKT_Tracer3,-67.7793,-21.382,
Caldera Vilama-NGS025,CVA2-ARG,,8879.3,,,15.6,356.3,47.6,43,58.8,17.1,,,,,
Caldera Vilama-NGS026,CVA2-ARG,,7220.4,,,13.1,333.9,37.8,42,59.9,16.2,,,,,
Caldera Vilama-NGS027,CVA2-ARG,,7677.2,,,13.4,319.4,34,37.4,55.4,14.4,,,,,
LICA01-LBZ-Tara,LBZ,492.4,10180.4,65.6,,22.4,209.4,147.3,37.6,188.4,24.8,,Glascock-Quantx2019,-67.4,-22.87,
Tara_Source_01,LBZ,537.3481045,10901.04751,81.44597202,21.17814511,22.12939018,215.8257059,131.1116182,40.1,215.6,21.2,,Glascock-Quantx2019,-67.51,-23.05,
Tara_Source_02,LBZ,489.1447336,10169.16222,67.33457196,17.94293603,21.15632802,207.2227998,137.4819861,39.6,225.9,22,,Glascock-Quantx2019,-67.51,-23.05,
Tara_Source_03,LBZ,646.3663328,11785.14221,95.10106628,26.96215431,22.59644134,227.1420349,143.3371573,,,,,,,,
ZAP001,LBZ,,11020.2,,,19.3,215.2,134.9,30.7,207.1,23.7,,,,,
ZAP001,LBZ,,10668,,,25.7,227.6,144.4,37.4,218.9,24.7,,,,,
ZAP001,LBZ,,11020.2,,,19.3,215.2,134.9,30.7,207.1,23.7,,,,,
ZAP001,LBZ,,10668,,,25.7,227.6,144.4,37.4,218.9,24.7,,,,,
ZAP002,LBZ,,10658.7,,,22.5,209.7,138.1,35.3,198,24.2,,,,,
ZAP002,LBZ,,9592.5,,,24,216.9,139.9,37.5,191.7,25.2,,,,,
ZAP002,LBZ,,10658.7,,,22.5,209.7,138.1,35.3,198,24.2,,,,,
ZAP002,LBZ,,9592.5,,,24,216.9,139.9,37.5,191.7,25.2,,,,,
ZAP004,LBZ,,11457.3,,,23.5,214.5,139.2,30.9,191.5,25.6,,,,,
ZAP004,LBZ,,10470.6,,,25.2,225,145,38.1,230.9,24.8,,,,,
ZAP004,LBZ,,11457.3,,,23.5,214.5,139.2,30.9,191.5,25.6,,,,,
ZAP004,LBZ,,10470.6,,,25.2,225,145,38.1,230.9,24.8,,,,,
ZAP006,LBZ,,11784.6,,,22.9,211.7,138.2,33.6,196,24.3,,,,,
ZAP006,LBZ,,10829.1,,,25.1,226.8,143.7,37.3,193.8,24.9,,,,,
ZAP006,LBZ,,11784.6,,,22.9,211.7,138.2,33.6,196,24.3,,,,,
ZAP006,LBZ,,10829.1,,,25.1,226.8,143.7,37.3,193.8,24.9,,,,,
ZAP007,LBZ,,11376.2,,,24.8,226.1,143.7,33.1,189.8,23.8,,,,,
ZAP007,LBZ,,10951.2,,,24.8,222.7,142.8,37.4,191.5,24.3,,,,,
ZAP007,LBZ,,11376.2,,,24.8,226.1,143.7,33.1,189.8,23.8,,,,,
ZAP007,LBZ,,10951.2,,,24.8,222.7,142.8,37.4,191.5,24.3,,,,,
ZAP008,LBZ,,12026.6,,,22.3,222.1,132.5,31.6,193.5,26.7,,,,,
ZAP008,LBZ,,10902.5,,,23.5,226.4,144.9,37.7,223.9,25.4,,,,,
ZAP008,LBZ,,12026.6,,,22.3,222.1,132.5,31.6,193.5,26.7,,,,,
ZAP008,LBZ,,10902.5,,,23.5,226.4,144.9,37.7,223.9,25.4,,,,,
ZAP009,LBZ,,10931,,,20.3,212.5,137.9,37.4,185.5,21.9,,,,,
ZAP009,LBZ,,11065.1,,,23.9,229.1,144.7,37.7,205,24.6,,,,,
ZAP009,LBZ,,10931,,,20.3,212.5,137.9,37.4,185.5,21.9,,,,,
